comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
CH_NT-NR_1947__CH_NT-SR_1947__CO|ALK--SD|Alkoholdelegation;"CH_NT-NR_1947;CH_NT-SR_1947";Alkoholdelegation ;CO;SD;ALK;Alkoholdelegation;6;01dec1947;03oct1951
CH_NT-NR_1947__CH_NT-SR_1947__DL|FinDel;"CH_NT-NR_1947;CH_NT-SR_1947";Finanzdelegation (FinDel) ;DL;NA;FinDel;NA;6;01dec1947;03oct1951
CH_NT-NR_1947__CO|AAK;CH_NT-NR_1947;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;13;01dec1947;03oct1951
CH_NT-NR_1947__CO|ALK;CH_NT-NR_1947;Alkoholkommission (ALK) ;CO;NA;ALK;NA;11;01dec1947;03oct1951
CH_NT-NR_1947__CH_NT-SR_1947__CO|BeK;"CH_NT-NR_1947;CH_NT-SR_1947";Begnadigungskommission (BeK) ;CO;NA;BeK;NA;13;01dec1947;03oct1951
CH_NT-NR_1947__CO|EBKk;CH_NT-NR_1947;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;11;01dec1947;03oct1951
CH_NT-NR_1947__CO|FK;CH_NT-NR_1947;Finanzkommission (FK) ;CO;NA;FK;NA;13;01dec1947;03oct1951
CH_NT-NR_1947__CO|GPK;CH_NT-NR_1947;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;17;01dec1947;03oct1951
CH_NT-NR_1947__CO|MK;CH_NT-NR_1947;Militärkommission (MK) ;CO;NA;MK;NA;13;01dec1947;03oct1951
CH_NT-NR_1947__CO|PK;CH_NT-NR_1947;Petitionskommission (PK) ;CO;NA;PK;NA;9;01dec1947;03oct1951
CH_NT-NR_1947__CO|PTT;CH_NT-NR_1947;Kommission für die Post-, Telegraphen- und Telephonverwaltung ;CO;NA;PTT;NA;13;07jun1949;03oct1951
CH_NT-NR_1947__CO|SBBK;CH_NT-NR_1947;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;13;01dec1947;03oct1951
CH_NT-NR_1947__CO|VmK;CH_NT-NR_1947;VollmachtenKommission ;CO;NA;VmK;NA;19;01dec1947;03oct1951
CH_NT-NR_1947__CO|WPK;CH_NT-NR_1947;Wahlprüfungskommission (WPK) ;CO;NA;WPK;NA;9;01dec1947;03oct1951
CH_NT-NR_1947__CO|ZtK;CH_NT-NR_1947;Zolltarifkommission ;CO;NA;ZtK;NA;29;01dec1947;03oct1951
CH_NT-NR_1951__CH_NT-SR_1951__CO|ALK--SD|Alkoholdelegation;"CH_NT-NR_1951;CH_NT-SR_1951";Alkoholdelegation ;CO;SD;ALK;Alkoholdelegation;"1;6";03dec1951;30sep1955
CH_NT-NR_1951__CH_NT-SR_1951__DL|FinDel;"CH_NT-NR_1951;CH_NT-SR_1951";Finanzdelegation (FinDel) ;DL;NA;FinDel;NA;6;03dec1951;30sep1955
CH_NT-NR_1951__CO|AAK;CH_NT-NR_1951;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;13;03dec1951;30sep1955
CH_NT-NR_1951__CO|ALK;CH_NT-NR_1951;Alkoholkommission (ALK) ;CO;NA;ALK;NA;11;03dec1951;30sep1955
CH_NT-NR_1951__CH_NT-SR_1951__CO|BeK;"CH_NT-NR_1951;CH_NT-SR_1951";Begnadigungskommission (BeK) ;CO;NA;BeK;NA;13;03dec1951;30sep1955
CH_NT-NR_1951__CO|EBKk;CH_NT-NR_1951;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;11;03dec1951;30sep1955
CH_NT-NR_1951__CO|FK;CH_NT-NR_1951;Finanzkommission (FK) ;CO;NA;FK;NA;15;03dec1951;30sep1955
CH_NT-NR_1951__CO|GPK;CH_NT-NR_1951;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;17;03dec1951;30sep1955
CH_NT-NR_1951__CO|MK;CH_NT-NR_1951;Militärkommission (MK) ;CO;NA;MK;NA;15;03dec1951;30sep1955
CH_NT-NR_1951__CO|PK;CH_NT-NR_1951;Petitionskommission (PK) ;CO;NA;PK;NA;9;03dec1951;30sep1955
CH_NT-NR_1951__CO|PTT;CH_NT-NR_1951;Kommission für die Post-, Telegraphen- und Telephonverwaltung ;CO;NA;PTT;NA;13;03dec1951;30sep1955
CH_NT-NR_1951__CO|SBBK;CH_NT-NR_1951;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;15;03dec1951;30sep1955
CH_NT-NR_1951__CO|VmK;CH_NT-NR_1951;VollmachtenKommission ;CO;NA;VmK;NA;19;03dec1951;01oct1952
CH_NT-NR_1951__CO|WPK;CH_NT-NR_1951;Wahlprüfungskommission (WPK) ;CO;NA;WPK;NA;9;03dec1951;30sep1955
CH_NT-NR_1951__CO|ZtK;CH_NT-NR_1951;Zolltarifkommission ;CO;NA;ZtK;NA;29;03dec1951;30sep1955
CH_NT-NR_1955__CH_NT-SR_1955__CO|ALK--SD|Alkoholdelegation;"CH_NT-NR_1955;CH_NT-SR_1955";Alkoholdelegation ;CO;SD;ALK;Alkoholdelegation;6;05dec1955;07oct1959
CH_NT-NR_1955__CH_NT-SR_1955__DL|FinDel;"CH_NT-NR_1955;CH_NT-SR_1955";Finanzdelegation (FinDel) ;DL;NA;FinDel;NA;6;05dec1955;07oct1959
CH_NT-NR_1955__CO|AAK;CH_NT-NR_1955;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;13;05dec1955;07oct1959
CH_NT-NR_1955__CO|ALK;CH_NT-NR_1955;Alkoholkommission (ALK) ;CO;NA;ALK;NA;11;05dec1955;07oct1959
CH_NT-NR_1955__CH_NT-SR_1955__CO|BeK;"CH_NT-NR_1955;CH_NT-SR_1955";Begnadigungskommission (BeK) ;CO;NA;BeK;NA;13;05dec1955;07oct1959
CH_NT-NR_1955__CO|EBKk;CH_NT-NR_1955;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;11;05dec1955;07oct1959
CH_NT-NR_1955__CO|FK;CH_NT-NR_1955;Finanzkommission (FK) ;CO;NA;FK;NA;15;05dec1955;07oct1959
CH_NT-NR_1955__CO|GPK;CH_NT-NR_1955;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;17;05dec1955;07oct1959
CH_NT-NR_1955__CO|MK;CH_NT-NR_1955;Militärkommission (MK) ;CO;NA;MK;NA;15;05dec1955;07oct1959
CH_NT-NR_1955__CO|PK;CH_NT-NR_1955;Petitionskommission (PK) ;CO;NA;PK;NA;9;05dec1955;07oct1959
CH_NT-NR_1955__CO|PTT;CH_NT-NR_1955;Kommission für die Post-, Telegraphen- und Telephonverwaltung ;CO;NA;PTT;NA;13;05dec1955;07oct1959
CH_NT-NR_1955__CO|SBBK;CH_NT-NR_1955;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;15;05dec1955;07oct1959
CH_NT-NR_1955__CO|WPK;CH_NT-NR_1955;Wahlprüfungskommission (WPK) ;CO;NA;WPK;NA;9;05dec1955;07oct1959
CH_NT-NR_1955__CO|ZtK;CH_NT-NR_1955;Zolltarifkommission ;CO;NA;ZtK;NA;29;05dec1955;07oct1959
CH_NT-NR_1959__CH_NT-SR_1959__CO|ALK--SD|Alkoholdelegation;"CH_NT-NR_1959;CH_NT-SR_1959";Alkoholdelegation ;CO;SD;ALK;Alkoholdelegation;6;07dec1959;04oct1963
CH_NT-NR_1959__CH_NT-SR_1959__DL|ERD;"CH_NT-NR_1959;CH_NT-SR_1959";Delegation beim Europarat (ERD) ;DL;NA;ERD;NA;6;05dec1960;16sep1963
CH_NT-NR_1959__CH_NT-SR_1959__DL|FinDel;"CH_NT-NR_1959;CH_NT-SR_1959";Finanzdelegation (FinDel) ;DL;NA;FinDel;NA;6;07dec1959;04oct1963
CH_NT-NR_1959__CO|AAK;CH_NT-NR_1959;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;13;07dec1959;04oct1963
CH_NT-NR_1959__CO|ALK;CH_NT-NR_1959;Alkoholkommission (ALK) ;CO;NA;ALK;NA;11;07dec1959;04oct1963
CH_NT-NR_1959__CH_NT-SR_1959__CO|BeK;"CH_NT-NR_1959;CH_NT-SR_1959";Begnadigungskommission (BeK) ;CO;NA;BeK;NA;13;07dec1959;04oct1963
CH_NT-NR_1959__CO|EBKk;CH_NT-NR_1959;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;11;07dec1959;04oct1963
